0.001,3.0802
0.002,3.0554
0.003,3.0224
0.004,2.9887
0.005,2.9586
0.006,2.9318
0.007,2.9053
0.008,2.8768
0.009,2.8462
0.01,2.8152
0.011,2.7856
0.012,2.7577
0.013,2.7302
0.014,2.7015
0.015,2.6714
0.016,2.641
0.017,2.6116
0.018,2.5833
0.019,2.5554
0.02,2.5266
0.021,2.4968
0.022,2.4667
0.023,2.4372
0.024,2.4088
0.025,2.3807
0.026,2.352
0.027,2.3223
0.028,2.2922
0.029,2.2627
0.03,2.2342
0.031,2.2061
0.032,2.1774
0.033,2.1478
0.034,2.1177
0.035,2.0881
0.036,2.0596
0.037,2.0315
0.038,2.0029
0.039,1.9733
0.04,1.9431
0.041,1.9135
0.042,1.8849
0.043,1.857
0.044,1.8286
0.045,1.7989
0.046,1.7684
0.047,1.7385
0.048,1.7101
0.049,1.6828
0.05,1.6549
0.051,1.6248
0.052,1.5928
0.053,1.5618
0.054,1.5356
0.055,1.5173
0.056,1.507
0.057,1.5021
0.058,1.4986
0.059,1.4937
0.06,1.4863
0.061,1.4774
0.062,1.4687
0.063,1.4609
0.064,1.454
0.065,1.4472
0.066,1.4398
0.067,1.4319
0.068,1.4238
0.069,1.4159
0.07,1.4085
0.071,1.4014
0.072,1.3941
0.073,1.3865
0.074,1.3786
0.075,1.3706
0.076,1.363
0.077,1.3557
0.078,1.3486
0.079,1.3412
0.08,1.3333
0.081,1.3252
0.082,1.3173
0.083,1.31
0.084,1.3032
0.085,1.2961
0.086,1.2882
0.087,1.2794
0.088,1.2708
0.089,1.2644
0.09,1.2621
0.091,1.2645
0.092,1.2709
0.093,1.2794
0.094,1.2881
0.095,1.296
0.096,1.3031
0.097,1.3101
0.098,1.3175
0.099,1.3253
0.1,1.3332
0.101,1.341
0.102,1.3484
0.103,1.3557
0.104,1.3632
0.105,1.3708
0.106,1.3786
0.107,1.3862
0.108,1.3938
0.109,1.4013
0.11,1.4088
0.111,1.4163
0.112,1.4239
0.113,1.4316
0.114,1.4393
0.115,1.4469
0.116,1.4544
0.117,1.4617
0.118,1.4691
0.119,1.4768
0.12,1.4849
0.121,1.4929
0.122,1.4999
0.123,1.505
0.124,1.5076
0.125,1.5082
0.126,1.5077
0.127,1.507
0.128,1.5069
0.129,1.5072
0.13,1.5075
0.131,1.5076
0.132,1.5074
0.133,1.5072
0.134,1.5071
0.135,1.5073
0.136,1.5074
0.137,1.5075
0.138,1.5074
0.139,1.5073
0.14,1.5072
0.141,1.5073
0.142,1.5074
0.143,1.5074
0.144,1.5074
0.145,1.5073
0.146,1.5073
0.147,1.5073
0.148,1.5073
0.149,1.5074
0.15,1.5074
0.151,1.5073
0.152,1.5073
0.153,1.5073
0.154,1.5073
0.155,1.5073
0.156,1.5074
0.157,1.5074
0.158,1.5073
0.159,1.5073
0.16,1.5072
0.161,1.5073
0.162,1.5074
0.163,1.5075
0.164,1.5074
0.165,1.5073
0.166,1.5071
0.167,1.5072
0.168,1.5075
0.169,1.5077
0.17,1.5076
0.171,1.507
0.172,1.5066
0.173,1.5071
0.174,1.5097
0.175,1.5148
0.176,1.5219
0.177,1.5302
0.178,1.5386
0.179,1.5464
0.18,1.5538
0.181,1.5611
0.182,1.5686
0.183,1.5765
0.184,1.5843
0.185,1.5919
0.186,1.5992
0.187,1.6065
0.188,1.6138
0.189,1.6213
0.19,1.6288
0.191,1.6361
0.192,1.6431
0.193,1.6501
0.194,1.657
0.195,1.6641
0.196,1.6711
0.197,1.678
0.198,1.6846
0.199,1.6911
0.2,1.6976
0.201,1.7042
0.202,1.7106
0.203,1.7169
0.204,1.723
0.205,1.7289
0.206,1.7348
0.207,1.7407
0.208,1.7465
0.209,1.7522
0.21,1.7576
0.211,1.7628
0.212,1.768
0.213,1.7732
0.214,1.7782
0.215,1.7831
0.216,1.7878
0.217,1.7923
0.218,1.7966
0.219,1.801
0.22,1.8052
0.221,1.8092
0.222,1.813
0.223,1.8166
0.224,1.8202
0.225,1.8236
0.226,1.8269
0.227,1.83
0.228,1.8329
0.229,1.8356
0.23,1.8382
0.231,1.8406
0.232,1.843
0.233,1.8451
0.234,1.8471
0.235,1.8488
0.236,1.8504
0.237,1.8518
0.238,1.8532
0.239,1.8543
0.24,1.8552
0.241,1.8559
0.242,1.8565
0.243,1.857
0.244,1.8573
0.245,1.8574
